goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkWAF/ContextLifecycle-16                        	 1000000	      1074 ns/op	    1604 B/op	      10 allocs/op
BenchmarkWAF/ContextLifecycle-16                        	 1000000	      1068 ns/op	    1604 B/op	      10 allocs/op
BenchmarkWAF/ContextLifecycle-16                        	 1000000	      1078 ns/op	    1604 B/op	      10 allocs/op
BenchmarkWAF/ContextLifecycle-16                        	 1000000	      1069 ns/op	    1605 B/op	      10 allocs/op
BenchmarkWAF/ContextLifecycle-16                        	 1000000	      1088 ns/op	    1605 B/op	      10 allocs/op
BenchmarkWAF/ContextLifecycle-16                        	 1000000	      1083 ns/op	    1604 B/op	      10 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  104271	     11552 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  103782	     11531 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  103790	     11543 ns/op	    3252 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  104179	     11609 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  102438	     11597 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  103928	     11501 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  104544	     11582 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  104391	     11524 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  104308	     11557 ns/op	    3253 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16                  	  103747	     11575 ns/op	    3252 B/op	      40 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22480	     53025 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22480	     53340 ns/op	    5461 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22748	     52647 ns/op	    5461 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22659	     52864 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22645	     52441 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22936	     52383 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22689	     52602 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22711	     52717 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22832	     52574 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16                	   22729	     52956 ns/op	    5462 B/op	     102 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1419	    851762 ns/op	   21506 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1430	    853953 ns/op	   21506 B/op	     496 allocs/op
