goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkWAF/RequestResponse-16         	   19106	     62533 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   19174	     62473 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   19090	     63339 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   19171	     63039 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   18832	     63845 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   19190	     62462 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   19024	     63215 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/RequestResponse-16         	   18970	     62973 ns/op	    6597 B/op	     159 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  209784	      5712 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  211126	      5586 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  213121	      5616 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  215523	      5844 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  199441	      5931 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  200215	      5780 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  213492	      5563 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  215264	      5568 ns/op	    4091 B/op	     100 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  154214	      7836 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  148534	      7772 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  147084	      7738 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  155838	      7614 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  156664	      7826 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  147205	      7956 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  147961	      7912 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  152926	      7724 ns/op	    6925 B/op	     172 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22732	     52754 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22930	     52720 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22614	     53080 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22378	     53415 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22588	     52987 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22454	     53378 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22680	     52850 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22008	     53900 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22572	     53670 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22592	     53459 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22251	     53592 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22658	     53027 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22834	     53093 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22599	     53009 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22436	     53497 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/Attack-16     	   22504	     53542 ns/op	   11168 B/op	     298 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1445712	       828.5 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1448088	       832.8 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1427097	       837.9 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1449354	       832.0 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1439364	       834.1 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1444428	       830.5 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1439404	       831.9 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/ContextLifecycle-16                  	 1441009	       832.5 ns/op	     456 B/op	       7 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  104958	     11388 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  105898	     11254 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  106348	     11275 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  106563	     11306 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  105176	     11277 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  104617	     11494 ns/op	    2466 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  105910	     11350 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Minimal-16            	  105898	     11251 ns/op	    2465 B/op	      44 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22423	     53337 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22562	     53311 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22582	     53288 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22422	     53418 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22500	     53401 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22432	     53247 ns/op	    4859 B/op	     118 allocs/op
BenchmarkWAF/DataComplexity/Realistic-16          	   22627	     53013 ns/op	    4859 B/op	     118 allocs/op
