goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkWAF/RequestResponse-16         	   19155	     62270 ns/op	    6405 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   19224	     62112 ns/op	    6404 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   19350	     62058 ns/op	    6404 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   19286	     62277 ns/op	    6404 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   18852	     63265 ns/op	    6405 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   18937	     63171 ns/op	    6404 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   19225	     62401 ns/op	    6404 B/op	     155 allocs/op
BenchmarkWAF/RequestResponse-16         	   19272	     62544 ns/op	    6404 B/op	     155 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  218389	      5403 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  219076	      5441 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  221030	      5420 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  221850	      5417 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  223045	      5495 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  223003	      5486 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  220604	      5437 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16         	  217478	      5521 ns/op	    3915 B/op	      96 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  156571	      7781 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  155498	      7505 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  158979	      7519 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  159457	      7623 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  157930	      7595 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  155551	      7627 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  157281	      7596 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/SmallRuleset/Attack-16           	  158896	      7547 ns/op	    6749 B/op	     168 allocs/op
BenchmarkWAF/Run/RecommendedRuleset/NoAttack-16   	   22594	     53502 ns/op	    4683 B/op	     114 allocs/op
